tax.bio	kingdom	phylum	class	order	family	genus	species
1471459.SAMN02671330	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471459 Prochlorococcus sp. scB241_528O2
1471463.SAMN02671334	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471463 Prochlorococcus sp. scB241_529C4
1471469.SAMN02671340	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471469 Prochlorococcus sp. scB243_495D8
1471493.SAMN02671364	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471493 Prochlorococcus sp. scB243_498I20
1471501.SAMN02671372	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471501 Prochlorococcus sp. scB245a_518A17
1471508.SAMN02671379	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471508 Prochlorococcus sp. scB245a_518O7
1471509.SAMN02671380	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471509 Prochlorococcus sp. scB245a_519A13
1471522.SAMN02671393	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471522 Prochlorococcus sp. scB245a_520K10
1479485.SAMN02697214	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	1246981 Tolypothrix bouteillei
1487953.SAMN02743038	2 Bacteria	1117 Cyanobacteria	NA	NA	NA	NA	1487953 [Leptolyngbya] sp. JSC-1
1497020.SAMN02725026	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	1501143 Neosynechococcus	1501145 Neosynechococcus sphagnicola
1499498.SAMN02769566	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1499498 Prochlorococcus sp. MIT 0601
1499499.SAMN02769567	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1499499 Prochlorococcus sp. MIT 0602
1499502.SAMN02769573	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1499502 Prochlorococcus sp. MIT 0701
1501268.SAMN02769551	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1501268 Prochlorococcus sp. MIT 0604
1501269.SAMN02769563	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1501269 Prochlorococcus sp. MIT 0801
1541065.SAMN03020304	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890500 Hyellaceae	52605 Myxosarcina	1541065 Myxosarcina sp. GI1
1552121.SAMD00020894	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	1552121 Leptolyngbya sp. NIES-2104
