tax.bio	kingdom	phylum	class	order	family	genus	species
585423.SAMN02202184	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	585423 Synechococcus sp. KORDI-49
585425.SAMN02202185	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	585425 Synechococcus sp. KORDI-52
59919.SAMEA3138209	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
59920.SAMN00623057	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
59921.SAMN02769552	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
59922.SAMN02603917	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
59925.SAMN02769550	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
59926.SAMN02769562	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
59931.SAMN02436160	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	59931 Synechococcus sp. WH 7805
63737.SAMN02598449	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	272131 Nostoc punctiforme
643473.SAMN02261254	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892264 Fortieaceae	1049006 Fortiea	1892405 Fortiea contorta
64471.SAMN02604031	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	64471 Synechococcus sp. CC9311
65093.SAMN02232029	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890450 Aphanothecaceae	76023 Halothece	65093 Halothece sp. PCC 7418
65393.SAMN00000286	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892249 Cyanothecaceae	43988 Cyanothece	65393 Cyanothece sp. PCC 7424
671072.SAMEA3590990	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	54304 Planktothrix	1678309 Planktothrix tepida
74545.SAMN02769556	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
74546.SAMN02598321	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
755178.SAMN02261329	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890452 Cyanobacteriaceae	102234 Cyanobacterium	379064 Cyanobacterium aponinum
756067.SAMN00713620	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	44471 Microcoleus	119532 Microcoleus vaginatus
82654.SAMN02261336	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890436 Pseudanabaenaceae	1152 Pseudanabaena	82654 Pseudanabaena sp. PCC 7367
84588.SAMEA3138327	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	84588 Synechococcus sp. WH 8102
864702.SAMN02261267	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	NA	NA	864702 Oscillatoriales cyanobacterium JSC-12
91464.SAMN02436177	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	91464 Synechococcus sp. PCC 7335
927677.SAMN02261355	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890428 Merismopediaceae	1142 Synechocystis	927677 Synechocystis sp. PCC 7509
93057.SAMN02769555	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
93059.SAMN00622972	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
93060.SAMN02598410	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
99598.SAMN02261328	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	99598 Calothrix sp. PCC 7507
